AT-102,1984
AT-103,60829
AT-104,26072
AT-105,17235
AT-106,40983
AT-107,61862
AT-108,37807
AT-109,55179
AT-201,104866
AT-202,65600
AT-203,18044
AT-204,61708
AT-205,54140
AT-206,75651
AT-207,65554
AT-208,42010
AT-209,52093
AT-210,30078
AT-301,25363
AT-303,11124
AT-304,48517
AT-305,118235
AT-306,150203
AT-307,109213
AT-308,108939
AT-309,35733
AT-310,52026
AT-311,30972
AT-312,93439
AT-313,56625
AT-314,25284
AT-315,79420
AT-316,77149
AT-317,121264
AT-318,87377
AT-319,193231
AT-320,41999
AT-321,109507
AT-322,25490
AT-323,80958
AT-325,41655
AT-401,211944
AT-402,38034
AT-404,110278
AT-405,33774
AT-406,68177
AT-407,103270
AT-408,66545
AT-409,58254
AT-410,156188
AT-411,70878
AT-412,63433
AT-413,57379
AT-414,58321
AT-415,62278
AT-416,88030
AT-417,141497
AT-418,142069
AT-501,157399
AT-502,61687
AT-503,158585
AT-504,83194
AT-505,20483
AT-506,90131
AT-603,61218
AT-606,466471
AT-610,87701
AT-611,59213
AT-612,79678
AT-614,27062
AT-616,51269
AT-617,92531
AT-620,71580
AT-621,98044
AT-622,91133
AT-623,83901
AT-702,62674
AT-703,318309
AT-704,66059
AT-705,114001
AT-706,45053
AT-707,48841
AT-708,33859
AT-709,87174
AT-801,65954
AT-802,137873
AT-803,93418
AT-804,112728
AT-901,16538
AT-902,110100
AT-903,98398
AT-904,33155
AT-905,54400
AT-906,31386
AT-907,31513
AT-908,24499
AT-909,41631
AT-910,220324
AT-911,110559
AT-912,101714
AT-913,55505
AT-914,98161
AT-915,76381
AT-916,102770
AT-917,56671
AT-918,51395
AT-919,75400
AT-920,86930
AT-921,186233
AT-922,220794
AT-923,121303
