SK0101,30370
SK0102,75534
SK0103,45425
SK0104,64498
SK0105,74113
SK0106,41829
SK0107,40936
SK0108,54406
SK0211,62964
SK0212,50902
SK0213,24745
SK0214,36388
SK0215,32054
SK0216,25507
SK0217,76678
SK0221,20170
SK0222,33275
SK0223,14573
SK0224,35051
SK0225,24897
SK0226,35617
SK0227,75124
SK0228,25577
SK0229,66773
SK0231,44000
SK0232,56299
SK0233,92603
SK0234,70647
SK0235,26054
SK0236,39714
SK0237,23509
SK0311,17278
SK0312,46129
SK0313,22701
SK0314,18574
SK0315,42265
SK0316,54094
SK0317,33089
SK0318,33077
SK0319,9341
SK031A,21376
SK031B,93418
SK0321,63677
SK0322,8628
SK0323,30537
SK0324,17228
SK0325,11556
SK0326,31112
SK0327,10460
SK0328,15257
SK0329,33673
SK032A,19866
SK032B,37151
SK032C,13939
SK032D,24749
SK0411,37860
SK0412,29855
SK0413,30656
SK0414,15708
SK0415,4993
SK0416,55966
SK0417,89246
SK0418,27478
SK0419,16082
SK041A,24220
SK041B,9584
SK041C,15189
SK041D,34799
SK0421,12809
SK0422,34940
SK0423,39371
SK0424,14469
SK0425,30224
SK0426,58287
SK0427,45494
SK0428,26254
SK0429,10277
SK042A,42953
SK042B,41565
